male,white,black,hispanic,mompro2,poppro2,siblings,norest96,norcen96,south96,west96,height81,height85,esteem80,athlets,wage96,hgc96,daded79,momed79,age,clubnum
0,1,0,0,0,0,1,,,,,65,,,,,,8,8,,
0,1,0,0,0,0,8,1,0,0,0,62,62,20,0,,12,8,5,37,2
0,1,0,0,0,0,3,0,0,0,1,,70,24,0,,12,12,10,34,0
0,1,0,0,0,0,3,0,0,0,1,67,67,,0,14.632107,14,12,11,33,0
1,1,0,0,0,0,1,,,,,63,,23,0,,,12,12,,2
1,1,0,0,0,0,1,0,1,0,0,64,65,27,1,14.250814,16,12,12,,2
1,1,0,0,0,0,1,1,0,0,0,65,69,26,1,10.256411,12,12,12,31,1
0,1,0,0,1,0,7,1,0,0,0,65,64,24,1,9.6153851,12,6,9,37,2
1,1,0,0,0,0,4,1,0,0,0,66,65,28,1,16.666666,14,10,12,32,0
0,1,0,0,0,0,3,,,,,66,66,21,0,,,12,12,,0
1,1,0,0,0,0,1,1,0,0,0,71,71,,0,28.846153,16,12,12,36,3
0,1,0,0,1,1,3,,,,,66,66,28,1,,,12,15,,2
1,1,0,0,0,0,2,1,0,0,0,71,72,25,1,25,16,16,12,37,0
0,1,0,0,0,1,2,1,0,0,0,67,67,23,1,22.924902,17,12,12,32,2
1,1,0,0,0,0,1,0,0,1,0,73,74,23,1,20.879122,16,12,12,32,0
0,1,0,0,0,0,3,1,0,0,0,63,63,25,1,26.709402,13,12,12,37,0
1,1,0,0,0,0,2,1,0,0,0,69,69,25,1,15.625,13,15,12,39,1
1,1,0,0,0,0,2,0,0,0,1,69,66,26,1,34.188034,13,16,12,38,0
0,1,0,0,0,0,3,,,,,64,65,28,0,,,12,10,38,0
0,1,0,0,0,1,2,1,0,0,0,64,64,23,1,20.674158,16,18,12,36,0
0,1,0,0,0,1,2,1,0,0,0,62,62,28,1,21.022728,16,18,12,34,3
0,1,0,0,0,0,1,1,0,0,0,64,64,19,1,,16,12,12,33,3
1,1,0,0,0,0,2,,,,,72,,,,,,12,12,,
1,1,0,0,0,0,2,1,0,0,0,71,72,27,,13.377927,12,12,12,35,
0,1,0,0,0,0,1,1,0,0,0,67,67,23,0,14.423077,14,16,14,36,0
1,1,0,0,1,0,2,,,,,67,67,27,1,,,17,16,,4
0,1,0,0,0,1,1,1,0,0,0,63,63,26,0,16.5,16,20,14,36,1
0,1,0,0,0,1,1,1,0,0,0,65,65,22,1,7.7108436,12,20,14,32,1
0,1,0,0,0,0,1,1,0,0,0,67,66,28,0,15.769231,12,4,0,35,1
0,1,0,0,0,0,1,,,,,64,64,21,0,,12,6,,37,2
1,0,0,1,0,0,2,,,,,68,69,28,0,,,3,9,32,0
0,0,0,1,0,0,2,1,0,0,0,61,62,,1,13.247863,18,12,12,,2
1,0,0,1,1,0,2,1,0,0,0,,,,,,12,15,12,,
1,1,0,0,0,0,5,1,0,0,0,70,70,27,1,24,13,12,13,37,0
0,1,0,0,0,0,5,1,0,0,0,64,62,26,0,7.3076925,13,12,12,32,1
