itn,education,age,rural,pregnant,infant,malmessage,altitude,household
1,0,42,1,0,0,0,1.153,1
1,3,21,1,0,0,0,1.153,2
0,4,33,1,0,1,1,1.153,3
1,0,29,1,0,0,1,1.153,4
1,7,32,1,1,0,1,1.153,5
0,8,22,1,0,0,0,1.153,6
0,5,20,1,0,0,0,1.218,7
0,0,32,1,0,0,1,1.218,8
0,6,19,1,0,0,1,1.218,9
1,7,18,1,1,0,1,1.218,10
0,7,32,1,0,0,0,1.28,11
0,7,25,1,0,0,1,1.321,12
0,0,39,1,0,0,0,1.321,13
1,2,19,1,0,0,0,1.321,13
1,6,27,1,0,0,1,1.321,14
0,5,39,1,0,0,1,1.321,15
0,7,20,1,0,1,1,1.321,15
0,3,38,1,0,0,1,1.321,16
0,4,15,1,0,0,0,1.321,16
1,2,39,1,0,0,1,1.321,17
1,9,47,1,0,0,1,1.321,18
0,9,20,1,1,0,1,1.321,19
0,6,25,1,0,0,0,1.321,20
1,3,47,1,0,0,0,1.258,21
0,7,15,1,0,0,0,1.258,21
1,4,36,1,0,1,1,1.258,22
0,9,35,1,0,0,1,1.258,23
1,7,34,1,0,0,1,1.238,24
1,0,31,1,0,0,0,1.238,25
1,7,20,1,0,0,1,1.225,26
0,6,22,1,0,1,1,1.225,27
0,7,27,1,0,0,0,1.225,28
0,8,17,1,0,0,1,1.225,28
1,8,32,1,0,1,1,1.17,29
1,5,25,1,0,1,0,1.17,30
1,5,25,1,0,1,1,1.17,31
1,7,45,1,0,0,1,1.17,32
1,7,22,1,0,1,0,1.17,32
1,6,35,1,0,0,0,1.17,33
1,9,40,1,0,0,1,1.17,34
1,8,24,1,0,0,0,1.17,35
0,5,23,1,0,1,1,1.17,36
1,9,18,1,1,0,0,1.17,37
0,6,33,1,0,0,1,1.17,38
0,7,30,1,0,0,0,1.172,39
0,6,31,1,0,0,0,1.172,40
1,7,26,1,0,1,1,1.172,41
1,3,24,1,0,0,0,1.172,42
1,4,45,1,0,0,0,1.172,43
1,7,37,1,0,1,0,1.172,44
0,7,16,1,0,0,0,1.172,44
1,9,25,1,0,0,1,1.172,45
1,9,26,1,0,0,1,1.172,46
0,0,36,1,0,0,1,1.172,47
0,3,26,1,0,0,1,1.172,48
0,2,36,1,0,0,0,1.172,49
1,6,30,1,1,0,1,1.172,50
0,7,26,1,0,0,0,1.172,51
1,6,23,1,0,0,0,1.186,52
0,7,23,1,0,1,1,1.186,53
0,6,30,1,0,0,1,1.186,54
0,6,33,1,0,0,1,1.186,55
0,5,16,1,0,0,1,1.186,55
0,6,31,1,1,0,1,1.186,56
1,0,43,1,0,0,0,1.323,57
1,7,23,1,0,0,0,1.323,58
1,7,39,1,0,0,0,1.323,59
1,4,27,1,0,0,1,1.323,60
1,7,28,1,0,0,1,1.161,61
1,11,46,1,0,0,1,1.161,62
0,6,33,1,0,0,1,1.161,63
1,8,16,1,0,0,1,1.161,63
0,8,33,1,0,0,1,1.161,64
0,10,18,1,0,0,1,1.161,64
0,9,16,1,0,0,1,1.161,64
1,11,35,1,0,0,1,1.161,65
1,11,16,1,0,0,1,1.161,65
1,6,22,1,0,0,1,1.161,66
1,13,19,1,0,0,0,1.161,67
0,7,21,1,0,0,0,1.161,67
1,16,27,1,0,0,1,1.161,68
1,12,22,1,0,0,1,1.161,68
1,6,23,1,0,0,1,1.161,69
1,13,25,1,0,0,1,1.161,70
0,0,25,1,0,0,1,1.161,71
0,15,21,1,0,0,1,1.161,72
0,13,19,1,0,0,0,1.161,72
0,8,15,1,0,0,0,1.161,72
1,5,39,1,0,0,0,1.161,73
1,11,22,1,0,1,1,1.161,73
1,5,40,1,0,0,1,1.161,74
1,8,17,1,0,0,1,1.161,74
1,10,19,1,0,1,1,1.161,74
