year,stcd,inc,pwin,dv,dvp,fr,po1,po2 ,redist ,dexp ,rexp,dpres
2014,101,0,0,31.8,,2,0,0,0,35603,1655998.6,37.70
2014,102,0,0,32.6,36.3,0,0,0,0,10473,793565.21,36.66
2014,103,0,0,33.8,35.9,0,0,0,0,9000,941431.5,37.13
2014,104,0,0,,25.9,0,5,2,0,,909880.91,24.29
2014,105,0,0,,35.0,0,5,2,0,,299837.5,35.32
2014,106,3,0,23.7,28.7,9,0,0,0,165464.66,1991338.25,24.95
2014,107,1,1,,75.9,0,5,2,0,1468012.7,,72.76
2014,201,0,0,44.6,30.9,0,0,0,0,230088.83,809039.2,42.69
2014,301,1,1,52.6,51.9,1,1,4,0,3340584.56,1377528.21,48.73
2014,302,1,0,50.0,50.4,0,0,0,0,3610617.45,4466677.51,49.24
2014,303,1,1,55.8,61.1,0,0,0,0,561116.42,103441.35,62.46
2014,304,0,0,26.9,29.8,0,0,0,0,38071.77,401796.79,31.57
2014,305,0,0,30.4,32.8,0,0,0,0,56749.88,578157.16,35.16
2014,306,0,0,35.1,35.2,0,0,0,0,10370.25,1119893.85,39.47
2014,307,2,1,,,9,7,2,0,911026.32,,73.01
2014,308,0,0,,35.6,0,5,2,0,,414180.65,37.42
2014,309,1,1,56.6,52.2,1,0,0,0,3464333.4,1328058.64,52.30
2014,401,0,0,33.9,41.0,0,1,0,0,279780.51,665075.08,37.31
2014,402,3,0,45.7,41.7,9,2,0,0,1563841.26,2149743.85,43.95
2014,403,0,0,,,0,5,2,0,,574943.7,32.54
2014,404,3,0,44.2,38.1,9,0,0,0,1189666.78,955239.74,36.75
2014,501,0,0,39.0,42.6,1,0,0,0,233970.36,730253.27,41.59
2014,502,1,1,75.0,71.2,1,0,0,0,887467.53,5462,71.88
2014,503,1,1,52.7,54.2,0,1,4,0,1320607.27,1600768.31,55.75
2014,504,9,0,,38.9,0,5,2,0,, ,40.55
2014,505,1,1,,74.5,0,5,2,0,1712297.91,,71.71
2014,506,1,1,72.7,75.1,0,0,0,0,982391.48,20950.18,70.94
2014,507,1,1,50.4,51.7,1,1,8,0,4355563.29,8555545.86,52.05
2014,508,0,0,32.4,,1,0,0,0,6104,303183.16,42.86
2014,509,1,1,52.4,55.6,0,0,0,0,1109114.54,62057.76,59.04
2014,510,0,0,43.9,47.3,0,0,0,0,1291436.26,1753320.93,51.84
2014,511,2,1,67.3,69.7,9,2,5,0,541227.55,118994.01,69.26
2014,512,1,1,83.3,85.1,0,0,0,0,2395066.14,600046.35,87.06
2014,513,1,1,88.5,,0,0,0,0,1100730.18,4940,90.67
2014,514,1,1,76.7,78.9,0,0,0,0,841038.54,25019.95,75.87
2014,515,1,1,69.8,,1,0,0,0,1669313.51,24477.23,69.53
2014,516,1,1,50.7,57.4,0,0,0,0,1116677.4,342204.12,59.80
2014,517,8,1,,73.5,0,5,2,0, ,,73.82
2014,518,1,1,67.8,70.5,0,0,0,0,1540092.76,41249.25,70.24
2014,519,8,1,,73.2,0,5,2,0,682507.16,,72.88
2014,520,1,1,,74.1,0,5,2,0,747789.34,,73.02
2014,521,0,0,42.2,42.2,1,0,0,0,1690530,2732693.38,55.66
2014,522,0,0,28.0,38.1,0,0,0,0,36799.17,1536605.03,42.36
2014,523,0,0,25.2,,0,0,0,0,8931.34,5935084.48,36.99
2014,524,1,1,51.9,55.1,0,0,0,0,2493169.87,490474.37,55.66
2014,525,10,0,,45.2,9,6,6,0,,2067141.51,49.03
2014,526,1,1,51.3,52.7,1,1,4,0,3364754.34,1298190.88,55.27
2014,527,1,1,59.4,64.0,0,0,0,0,737543.01,169258.9,64.14
