State,Population,Miles.mill,Fatal.crashes,Deaths,Deaths.per.100k,Deaths.per.100million.miles,Population2010,Land,Density
Alabama,4833722.00,64914.00,766.00,852.00,17.60,1.31,4779736.00,50744.00,94.40
Alaska,735132.00,4593.00,49.00,51.00,6.90,1.11,710231.00,571951.26,1.20
Arizona,6626624.00,59574.00,782.00,849.00,12.80,1.43,6392017.00,113634.57,56.30
Arkansas,2959373.00,32953.00,446.00,483.00,16.30,1.47,2915918.00,52068.17,56.00
California,38332521.00,320784.00,2772.00,3000.00,7.80,0.94,37253956.00,155959.34,239.10
Colorado,5268367.00,46606.00,431.00,481.00,9.10,1.03,5029196.00,103717.53,48.50
Connecticut,3596080.00,31197.00,255.00,276.00,7.70,0.88,3574097.00,4844.80,738.10
Delaware,925749.00,9028.00,94.00,99.00,10.70,1.10,897934.00,1953.56,460.80
Florida,19552860.00,191855.00,2228.00,2407.00,12.30,1.25,18801310.00,53926.82,350.60
Georgia,9992167.00,108454.00,1085.00,1179.00,11.80,1.09,9687653.00,57906.14,168.40
Hawaii,1404054.00,10066.00,93.00,102.00,7.30,1.01,1360301.00,6422.62,211.80
Idaho,1612136.00,15937.00,200.00,214.00,13.30,1.34,1567582.00,82747.21,19.00
Illinois,12882135.00,103234.00,895.00,991.00,7.70,0.96,12830632.00,55583.58,231.10
Indiana,6570902.00,76485.00,709.00,783.00,11.90,1.02,6483802.00,35866.90,181.00
Iowa,3090416.00,31274.00,290.00,317.00,10.30,1.01,3046355.00,55869.36,54.50
Kansas,2893957.00,30021.00,327.00,350.00,12.10,1.17,2853118.00,81814.88,34.90
Kentucky,4395295.00,48061.00,590.00,638.00,14.50,1.33,4339367.00,39728.18,109.90
Louisiana,4625470.00,46513.00,651.00,703.00,15.20,1.51,4533372.00,43561.85,104.90
Maine,1328302.00,14248.00,137.00,145.00,10.90,1.02,1328361.00,30861.55,43.10
Maryland,5928814.00,56221.00,431.00,465.00,7.80,0.83,5773552.00,9773.82,594.80
Massachusetts,6692824.00,54792.00,309.00,326.00,4.90,0.59,6547629.00,7840.02,839.40
Michigan,9895622.00,94754.00,876.00,947.00,9.60,1.00,9883640.00,56803.82,174.80
Minnesota,5420380.00,56685.00,357.00,387.00,7.10,0.68,5303925.00,79610.08,66.60
Mississippi,2991207.00,38851.00,558.00,613.00,20.50,1.58,2967297.00,46906.96,63.20
Missouri,6044171.00,68789.00,683.00,757.00,12.50,1.10,5988927.00,68885.93,87.10
Montana,1015165.00,11660.00,203.00,229.00,22.60,1.96,989415.00,145552.43,6.80
Nebraska,1868516.00,19093.00,190.00,211.00,11.30,1.11,1826341.00,76872.41,23.80
Nevada,2790136.00,24189.00,242.00,262.00,9.40,1.08,2700551.00,109825.99,24.60
New Hampshire,1323459.00,12720.00,124.00,135.00,10.20,1.06,1316470.00,8968.10,147.00
New Jersey,8899339.00,73094.00,508.00,542.00,6.10,0.74,8791894.00,7417.34,1195.50
New Mexico,2085287.00,25533.00,274.00,310.00,14.90,1.21,2059179.00,121355.53,17.00
New York,19651127.00,127726.00,1121.00,1199.00,6.10,0.94,19378102.00,47213.79,411.20
North Carolina,9848060.00,103772.00,1188.00,1289.00,13.10,1.24,9535483.00,48710.88,196.10
North Dakota,723393.00,9131.00,133.00,148.00,20.50,1.62,672591.00,68975.93,9.70
Ohio,11570808.00,111990.00,917.00,989.00,8.50,0.88,11536504.00,40948.38,282.30
Oklahoma,3850568.00,47464.00,621.00,678.00,17.60,1.43,3751351.00,68667.06,54.70
Oregon,3930065.00,33373.00,292.00,313.00,8.00,0.94,3831074.00,95996.79,39.90
Pennsylvania,12773801.00,99204.00,1117.00,1208.00,9.50,1.22,12702379.00,44816.61,283.90
Rhode Island,1051511.00,7901.00,62.00,65.00,6.20,0.82,1052567.00,1044.93,1018.10
South Carolina,4774839.00,48730.00,719.00,767.00,16.10,1.57,4625364.00,30109.47,153.90
South Dakota,844877.00,9002.00,121.00,135.00,16.00,1.50,814180.00,75884.64,10.70
Tennessee,6495978.00,70751.00,911.00,995.00,15.30,1.41,6346105.00,41217.12,153.90
Texas,26448193.00,237440.00,3044.00,3382.00,12.80,1.42,25145561.00,261797.12,96.30
Utah,2900872.00,26222.00,202.00,220.00,7.60,0.84,2763885.00,82143.65,33.60
Vermont,626630.00,7141.00,63.00,69.00,11.00,0.97,625741.00,9249.56,67.90
Virginia,8260405.00,80974.00,682.00,740.00,9.00,0.91,8001024.00,39594.07,202.60
Washington,6971406.00,56955.00,402.00,436.00,6.30,0.77,6724540.00,66544.06,101.20
West Virginia,1854304.00,18963.00,305.00,332.00,17.90,1.75,1852994.00,24077.73,77.10
Wisconsin,5742713.00,54402.00,507.00,543.00,9.50,1.00,5686986.00,54310.10,105.00
Wyoming,582658.00,9245.00,75.00,87.00,14.90,0.94,563626.00,97100.40,5.80
